OBJECTID,Id,gridcode,ShapeLongi,ShapeLatit,Shape_Leng,Shape_Area,Longitude,Latitude
17107,777383,83796224,-133.0558408,54.55228656,14816,13719616,-133.0558408,54.55228656
17108,777384,46890364,-133.0014673,54.54194634,14816,13719616,-133.0014673,54.54194634
17109,777385,59398644,-132.9471228,54.53158005,14816,13719616,-132.9471228,54.53158005
17110,777386,74618192,-132.8928076,54.5211877,14816,13719616,-132.8928076,54.5211877
17111,777387,10055776,-132.8385215,54.51076932,14816,13719616,-132.8385215,54.51076932
17112,777388,59178036,-132.7842647,54.50032493,14816,13719616,-132.7842647,54.50032493
17113,777389,61345760,-132.7300372,54.48985454,14816,13719616,-132.7300372,54.48985454
17114,777390,17577684,-132.6851743,54.4797143,12565.10005,9181134.432,-132.675839,54.47935818
17117,778293,90658640,-158.3788421,56.34299111,15256.11729,13504265.02,-158.3792162,56.34274029
17118,778294,71608344,-158.3193507,56.34491381,14816,13719616,-158.3193507,56.34491381
17119,778295,29568336,-158.2594782,56.34705745,14816,13719616,-158.2594782,56.34705745
17121,778297,44208400,-158.1397124,56.35125506,14816,13719616,-158.1397124,56.35125506
17122,778298,60428708,-158.0798193,56.35330902,14816,13719616,-158.0798193,56.35330902
17128,778304,81820336,-157.7203248,56.36500468,14816,13719616,-157.7203248,56.36500468
17129,778305,69472224,-157.6603873,56.36684923,14816,13719616,-157.6603873,56.36684923
17130,778306,53019112,-157.6004438,56.36866384,14816,13719616,-157.6004438,56.36866384
17131,778307,39508492,-157.5404944,56.37044852,14816,13719616,-157.5404944,56.37044852
17132,778308,50205892,-157.4805392,56.37220325,14816,13719616,-157.4805392,56.37220325
17133,778309,10957488,-157.4205784,56.37392804,14816,13719616,-157.4205784,56.37392804
17134,778310,41710344,-157.3606119,56.37562288,14816,13719616,-157.3606119,56.37562288
17135,778311,97329344,-157.30064,56.37728776,14816,13719616,-157.30064,56.37728776
17136,778312,17600200,-157.2406627,56.37892268,14816,13719616,-157.2406627,56.37892268
17137,778313,402852,-157.1806801,56.38052765,14816,13719616,-157.1806801,56.38052765
17138,778314,6456291,-157.1206923,56.38210264,14816,13719616,-157.1206923,56.38210264
17139,778315,85308888,-157.0606994,56.38364767,14816,13719616,-157.0606994,56.38364767
17140,778316,51464384,-157.0007016,56.38516272,14816,13719616,-157.0007016,56.38516272
17141,778317,84654296,-156.9406988,56.3866478,14816,13719616,-156.9406988,56.3866478
17142,778318,80406208,-156.8806912,56.3881029,14816,13719616,-156.8806912,56.3881029
17143,778319,64938276,-156.8206789,56.38952801,14816,13719616,-156.8206789,56.38952801
17144,778320,71485912,-156.760662,56.39092314,14816,13719616,-156.760662,56.39092314
17145,778321,23153882,-156.7006406,56.39228827,14816,13719616,-156.7006406,56.39228827
17146,778322,63391076,-156.6406147,56.39362341,14816,13719616,-156.6406147,56.39362341
17147,778323,68131648,-156.5805846,56.39492856,14816,13719616,-156.5805846,56.39492856
17148,778324,33113304,-156.5205502,56.39620371,14816,13719616,-156.5205502,56.39620371
17149,778325,43787996,-156.4605117,56.39744885,14816,13719616,-156.4605117,56.39744885
17150,778326,93127696,-156.4004692,56.39866399,14816,13719616,-156.4004692,56.39866399
17151,778327,56060116,-156.3404228,56.39984912,14816,13719616,-156.3404228,56.39984912
17152,778328,32559546,-156.2803725,56.40100424,14816,13719616,-156.2803725,56.40100424
17153,778329,6532567,-156.2203185,56.40212934,14816,13719616,-156.2203185,56.40212934
17154,778330,49529268,-156.1602609,56.40322443,14816,13719616,-156.1602609,56.40322443
17155,778331,51496796,-156.1001997,56.4042895,14816,13719616,-156.1001997,56.4042895
17156,778332,47429932,-156.0401351,56.40532455,14816,13719616,-156.0401351,56.40532455
17157,778333,87351144,-155.9800671,56.40632957,14816,13719616,-155.9800671,56.40632957
17158,778334,59912396,-155.9199959,56.40730457,14816,13719616,-155.9199959,56.40730457
17159,778335,94030048,-155.8599216,56.40824953,14816,13719616,-155.8599216,56.40824953
17160,778336,53556472,-155.7998442,56.40916447,14816,13719616,-155.7998442,56.40916447
17161,778337,89701184,-155.7397639,56.41004938,14816,13719616,-155.7397639,56.41004938
