"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1999","EBS"," [kg]",515681600.332498,23782435.2696344,0.0544651403550462
"1","2000","EBS"," [kg]",497858193.271088,23703622.0775105,0.0554884299531408
"1","2001","EBS"," [kg]",978753192.04277,45952602.9355159,0.0547663775027093
"1","2002","EBS"," [kg]",588195945.481642,34717951.2632608,0.0691822579796222
"1","2003","EBS"," [kg]",567741429.489252,37042031.0806143,0.0769366985197474
"1","2004","EBS"," [kg]",460066593.059852,32040893.5423086,0.0813020024704163
"1","2005","EBS"," [kg]",470657072.606762,29063673.2273736,0.0723101553759931
"1","2006","EBS"," [kg]",430685487.206336,17042511.3314177,0.0460885719523481
"1","2007","EBS"," [kg]",570789403.145201,24653996.9603218,0.0504404435301541
"1","2008","EBS"," [kg]",472300580.897742,20595954.9293095,0.0510111677667342
"1","2009","EBS"," [kg]",688358954.684361,26575096.1360956,0.045133627070865
"1","2010","EBS"," [kg]",742015371.831002,31891363.8698401,0.0497507568426984
"1","2011","EBS"," [kg]",816236325.291098,32513880.1350756,0.046450028743527
"1","2012","EBS"," [kg]",1026705161.28125,51448554.534013,0.0592307653674349
"1","2013","EBS"," [kg]",715135675.337783,32618918.7557802,0.0533009166874027
"1","2014","EBS"," [kg]",1082680004.98156,54055934.4680129,0.0585155624409939
"1","2015","EBS"," [kg]",945668848.007843,43885650.6040807,0.0542229644097372
"1","2016","EBS"," [kg]",711741031.104329,35910498.429807,0.0593435246205744
"1","2017","EBS"," [kg]",378613730.631647,16390346.7772289,0.050845665625637
"1","2018","EBS"," [kg]",294297271.593791,16858645.0294273,0.0677829432510096
"1","2019","EBS"," [kg]",545910797.513792,29356341.1199807,0.0634737016078204
"1","2020","EBS"," [kg]",0.00388367124052288,0.00118717048962509,0.431396895226377
"1","2021","EBS"," [kg]",488962100.142316,26155934.8017829,0.0632373964045201
"1","1982","NBS"," [kg]",70150410.9591867,18527862.2142209,0.373354330623435
"1","1983","NBS"," [kg]",115235214.57328,30418381.9522557,0.376686605931721
"1","1984","NBS"," [kg]",48665170.3963789,13550887.5754047,0.404086983071229
"1","1985","NBS"," [kg]",80001090.2736607,16321672.5554177,0.279568639499778
"1","1986","NBS"," [kg]",45695022.6379217,12551641.7803366,0.40086783458155
"1","1987","NBS"," [kg]",104631730.905861,28229009.7502428,0.391793274696382
"1","1988","NBS"," [kg]",31908886.528382,4666961.16132505,0.186530666325811
"1","1989","NBS"," [kg]",27389671.3219802,7294641.49079467,0.38220250088981
"1","1990","NBS"," [kg]",29059386.1782153,7699365.46403781,0.376539627023619
"1","1991","NBS"," [kg]",31524612.7715961,5544633.8492631,0.232301970121329
"1","1992","NBS"," [kg]",20565955.9147153,5860592.40747557,0.415608133138378
"1","1993","NBS"," [kg]",55184419.7734954,15127985.5028794,0.395933033972051
"1","1994","NBS"," [kg]",29831829.22668,9761890.93196726,0.499439672834159
"1","1995","NBS"," [kg]",19732807.0514082,6641089.13606049,0.521381187522029
"1","1996","NBS"," [kg]",50733148.2245553,16350315.9517061,0.496077333872672
"1","1997","NBS"," [kg]",37755572.5934447,11777060.6800644,0.47471327669041
"1","1998","NBS"," [kg]",61503330.3796448,17824818.7676427,0.436488496350278
"1","1999","NBS"," [kg]",9958346.33386262,3403342.77377735,0.565910398506341
"1","2000","NBS"," [kg]",22173618.8439042,6979849.09673392,0.478505744530031
"1","2001","NBS"," [kg]",33945311.3911544,11307423.609802,0.509841347260049
"1","2002","NBS"," [kg]",45911408.705424,13228986.2620734,0.432473678324899
"1","2003","NBS"," [kg]",63148786.8524849,18808844.5818529,0.460241439874384
"1","2004","NBS"," [kg]",34131741.0077336,10117427.5977876,0.44952686833542
"1","2005","NBS"," [kg]",37556282.0500684,10018091.6054004,0.390384495876705
"1","2006","NBS"," [kg]",12834336.4075869,3943487.74014539,0.460575707579507
"1","2007","NBS"," [kg]",25341670.4597779,7133264.30885455,0.413114702097505
"1","2008","NBS"," [kg]",12697753.2087227,3739344.55900047,0.439180903911195
"1","2009","NBS"," [kg]",26344962.3944446,6904789.5253383,0.369524049948224
"1","2010","NBS"," [kg]",9423329.2248871,1007364.1130131,0.127765895552963
"1","2011","NBS"," [kg]",47052952.0139405,12522428.5647881,0.372733256633356
"1","2012","NBS"," [kg]",25346055.5930344,7758168.07983491,0.468737992208093
"1","2013","NBS"," [kg]",45296577.0958039,13505853.1872278,0.442873443300758
"1","2014","NBS"," [kg]",150274014.498652,43132679.5514846,0.426192698012996
"1","2015","NBS"," [kg]",141939664.28449,40393736.6527259,0.421261388999243
"1","2016","NBS"," [kg]",239155348.486839,62939672.5054593,0.385935883501925
"1","2017","NBS"," [kg]",142576574.762711,9852111.89861968,0.0830427615288047
"1","2018","NBS"," [kg]",238782995.280624,21706859.6744279,0.116481970407417
"1","2019","NBS"," [kg]",219019536.901177,14297293.4113769,0.0789520623746744
"1","2020","NBS"," [kg]",0.000475253879663333,0.000163358807326688,0.492298320767927
"1","2021","NBS"," [kg]",112953275.523582,7588903.13686092,0.0802868319889638
