,CRUISEJOIN,REGION,VESSEL,CRUISE,START_DATE,END_DATE,MIN_LATITUDE,MAX_LATITUDE,MIN_LONGITUDE,MAX_LONGITUDE,AGENCY_NAME,SURVEY_NAME,AUDITJOIN
163,-634,BS,89,200901,6/1/2009 0:00,7/29/2009 0:00,54.97957,62.00484,-177.6259,-159.00011,USA,2009 Eastern Bering Sea Bottom Trawl Survey,-634
164,-635,BS,88,200901,6/1/2009 0:00,7/30/2009 0:00,54.68347,62.00888,-178.1759,-158.3197,USA,2009 Eastern Bering Sea Bottom Trawl Survey,-635
165,-657,BS,94,201001,6/3/2010 0:00,7/20/2010 0:00,54.27885,60.60875,-179.49085,-165.49793,USA,2010 Eastern Bering Sea Slope Survey,-657
166,-658,BS,89,201001,6/6/2010 0:00,7/29/2010 0:00,54.70643,59.6675,-177.57362,-158.32827,USA,2010 Eastern Bering Sea Bottom Trawl Survey,-658
167,-659,BS,162,201001,6/6/2010 0:00,8/4/2010 0:00,55.32223,62.0014,-178.22732,-159.03282,USA,2010 Eastern Bering Sea Bottom Trawl Survey,-659
168,-660,BS,162,201002,8/4/2010 0:00,8/8/2010 0:00,61.33037,63.34127,-175.27057,-172.12403,USA,2010 Northern Bering Sea Bottom Trawl Survey (Loss of Sea Ice),-660
169,-661,BS,89,201002,7/30/2010 0:00,8/8/2010 0:00,60.65348,63.3081,-172.40093,-166.67373,USA,2010 Northern Bering Sea Bottom Trawl Survey (Loss of Sea Ice),-661
170,-662,BS,94,201002,7/23/2010 0:00,8/10/2010 0:00,60.66808,65.37537,-172.71473,-161.52122,USA,2010 Northern Bering Sea Bottom Trawl Survey (Loss of Sea Ice),-662
171,-663,BS,89,201101,6/4/2011 0:00,8/1/2011 0:00,54.69668,62.00717,-178.15503,-159.01785,USA,2011 Eastern Bering Sea Bottom Trawl Survey,-663
172,-664,BS,162,201101,6/4/2011 0:00,7/30/2011 0:00,54.6639,61.01002,-176.81427,-158.31817,USA,2011 Eastern Bering Sea Bottom Trawl Survey,-664
173,-678,BS,89,201201,6/4/2012 0:00,7/25/2012 0:00,54.9931,61.99998,-178.17307,-159.55865,USA,2012 Eastern Bering Sea Bottom Trawl Survey,-678
174,-679,BS,162,201201,6/4/2012 0:00,8/2/2012 0:00,54.66435,62.00187,-177.44912,-158.31823,USA,2012 Eastern Bering Sea Bottom Trawl Survey,-679
175,-680,BS,94,201201,6/8/2012 0:00,7/25/2012 0:00,54.26365,60.60923,-179.49565,-165.42688,USA,2012 Eastern Bering Sea Slope Survey,-680
176,-681,BS,162,201202,8/14/2012 0:00,9/18/2012 0:00,65.99753,73.04425,-168.59165,-157.18862,USA,2012 Chukchi Sea Trawl Survey,-681
177,-682,BS,89,201301,6/8/2013 0:00,8/5/2013 0:00,54.66578,62.00093,-178.19002,-158.97341,USA,2013 Eastern Bering Sea Bottom Trawl Survey,-682
178,-683,BS,162,201301,6/8/2013 0:00,8/5/2013 0:00,54.84012,61.66661,-176.44318,-158.3154,USA,2013 Eastern Bering Sea Bottom Trawl Survey,-683
179,-688,BS,94,201401,6/7/2014 0:00,8/2/2014 0:00,54.98467,62.00545,-178.19445,-158.30857,USA,2014 Eastern Bering Sea Bottom Trawl Survey,-688
180,-689,BS,162,201401,6/7/2014 0:00,8/4/2014 0:00,54.68787,61.33549,-177.61978,-158.97425,USA,2014 Eastern Bering Sea Bottom Trawl Survey,-689
181,-697,BS,94,201501,6/2/2015 0:00,7/31/2015 0:00,54.69334,61.68091,-176.31237,-158.98267,USA,2015 Eastern Bering Sea Bottom Trawl Survey,-697
182,-698,BS,162,201501,6/1/2015 0:00,7/29/2015 0:00,54.83224,62.00251,-178.18242,-158.34245,USA,2015 Eastern Bering Sea Bottom Trawl Survey,-698
183,-706,BS,94,201601,5/30/2016 0:00,7/26/2016 0:00,54.83663,61.00045,-176.80789,-158.31579,USA,2016 Eastern Bering Sea Bottom Trawl Survey,-706
184,-707,BS,162,201601,5/30/2016 0:00,7/26/2016 0:00,54.69079,62.00338,-178.21515,-159.64225,USA,2016 Eastern Bering Sea Bottom Trawl Survey,-707
185,-708,BS,178,201601,6/16/2016 0:00,8/9/2016 0:00,54.2701,60.58248,-179.4826,-165.39767,USA,2016 Eastern Bering Sea Slope Survey,-708
186,-711,BS,162,201701,6/3/2017 0:00,7/31/2017 0:00,54.8329,61.98658,-178.14075,-159.01447,USA,2017 Eastern Bering Sea Bottom Trawl Survey,-711
187,-712,BS,94,201701,6/3/2017 0:00,8/15/2017 0:00,54.68654,62.00043,-176.79261,-158.33269,USA,2017 Eastern Bering Sea Bottom Trawl Survey,-712
188,-717,BS,94,201702,8/1/2017 0:00,8/26/2017 0:00,60.65017,64.66608,-173.08811,-161.52082,USA,2017 Northern Bering Sea Bottom Trawl Survey (Loss of Sea Ice),-717
189,-718,BS,162,201702,8/1/2017 0:00,9/2/2017 0:00,60.6541,65.33807,-175.32548,-167.41451,USA,2017 Northern Bering Sea Bottom Trawl Survey (Loss of Sea Ice),-718
190,-722,BS,94,201801,6/1/2018 0:00,8/3/2018 0:00,54.12923,63.25032,-178.13228,-158.27703,USA,2018 Eastern Bering Sea Bottom Trawl Survey,-722
191,-723,BS,162,201801,6/1/2018 0:00,8/14/2018 0:00,54.12842,65.25117,-177.5806,-158.96884,USA,2018 Eastern Bering Sea Bottom Trawl Survey,-723
192,-726,BS,94,201901,6/2/2019 0:00,7/28/2019 0:00,55.0235,61.99285,-177.38186,-158.98148,USA,2019 Eastern Bering Sea Bottom Trawl Survey,-726
193,-727,BS,162,201901,6/3/2019 0:00,7/28/2019 0:00,54.71069,61.99953,-178.67582,-158.31661,USA,2019 Eastern Bering Sea Bottom Trawl Survey,-727
194,-728,BS,94,201902,7/29/2019 0:00,8/20/2019 0:00,60.66506,64.34148,-173.09232,-161.52865,USA,2019 Northern Bering Sea Bottom Trawl Survey (Loss of Sea Ice),-728
195,-729,BS,162,201902,7/28/2019 0:00,8/20/2019 0:00,60.67623,65.33323,-175.3341,-166.01553,USA,2019 Northern Bering Sea Bottom Trawl Survey (Loss of Sea Ice),-729
