"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2014","Both"," [kg]",1231311355.15999,71010907.9609024,0.0689695841555842
"1","2015","Both"," [kg]",1082764994.73124,61236569.1758689,0.0676767743365977
"1","2016","Both"," [kg]",944301677.548406,72863227.0640758,0.0946863838867573
"1","2017","Both"," [kg]",515808329.477293,19070780.3663348,0.043401428469257
"1","2018","Both"," [kg]",529914836.694215,27328890.1295353,0.0627061294261866
"1","2019","Both"," [kg]",756747858.926136,32422878.8217928,0.0506947264646491
"1","2020","Both"," [kg]",0.00444566687259004,0.00135544309382164,0.429001167032855
"1","2021","Both"," [kg]",606583887.519106,26733059.0100935,0.0519562228964186
"1","1982","EBS"," [kg]",635148011.162377,25823386.6737298,0.0477301782853713
"1","1983","EBS"," [kg]",748314008.674397,33881965.7887292,0.0531263845633749
"1","1984","EBS"," [kg]",648938156.520487,26290710.3587718,0.0473140169909085
"1","1985","EBS"," [kg]",793589709.502183,29506182.4444961,0.043317517872305
"1","1986","EBS"," [kg]",825192752.144833,32218185.9563438,0.0456881669608359
"1","1987","EBS"," [kg]",717482433.161064,27109164.988698,0.0443215038248589
"1","1988","EBS"," [kg]",505742265.334668,19677401.6927339,0.0452546219995957
"1","1989","EBS"," [kg]",328699275.323893,15167367.0123756,0.0537318758823811
"1","1990","EBS"," [kg]",444436690.851246,18923212.2141183,0.0492417005128212
"1","1991","EBS"," [kg]",481650733.836091,22075431.334378,0.0531143897091882
"1","1992","EBS"," [kg]",527490818.139894,26165842.5847987,0.0579922023935298
"1","1993","EBS"," [kg]",754973049.369455,34977157.7985334,0.0539446473939261
"1","1994","EBS"," [kg]",1101018925.59726,46104941.4998571,0.0486908492526306
"1","1995","EBS"," [kg]",682008174.003813,27590643.861513,0.0470224991955894
"1","1996","EBS"," [kg]",573050823.060551,26284772.1805775,0.053391308508289
"1","1997","EBS"," [kg]",491835293.61346,21761726.3290476,0.051539728903703
"1","1998","EBS"," [kg]",555277504.659206,31524995.7037012,0.0662480191148158
"1","1999","EBS"," [kg]",509461496.483972,23172384.6342603,0.0533888141503674
"1","2000","EBS"," [kg]",485043791.14585,22002905.2461305,0.0527196911189176
"1","2001","EBS"," [kg]",967429877.717523,44187423.6980677,0.0530615231464141
"1","2002","EBS"," [kg]",582708509.429716,33235704.6809596,0.0665389962580787
"1","2003","EBS"," [kg]",560812209.096905,35703784.7666901,0.0746687378438217
"1","2004","EBS"," [kg]",453609952.033366,30136623.0670588,0.0771918148895664
"1","2005","EBS"," [kg]",472592767.935975,28568100.1897257,0.0705575676863672
"1","2006","EBS"," [kg]",428989090.188075,17355611.6401006,0.0470271820958649
"1","2007","EBS"," [kg]",558785381.77872,24326214.9383636,0.0506956318713407
"1","2008","EBS"," [kg]",466673132.618064,20606452.5405784,0.0515723639356306
"1","2009","EBS"," [kg]",675296876.081267,26135064.8754047,0.0451505886437396
"1","2010","EBS"," [kg]",714542785.832779,30365974.2374778,0.0490005852443644
"1","2011","EBS"," [kg]",804108886.959293,32347088.6173611,0.0467464708576288
"1","2012","EBS"," [kg]",1002238587.78799,50981853.0317619,0.0599368189956171
"1","2013","EBS"," [kg]",691930998.922003,31543540.5858592,0.053103740648308
"1","2014","EBS"," [kg]",1083550600.15889,54488599.7933615,0.0587394289243661
"1","2015","EBS"," [kg]",946720283.485171,45061738.5512199,0.0555674757606764
"1","2016","EBS"," [kg]",712968417.42311,35827517.9471172,0.058880140461604
"1","2017","EBS"," [kg]",377268770.215013,16387864.9183654,0.0507360204699323
"1","2018","EBS"," [kg]",290731241.795797,15280581.2271389,0.0618461969261646
"1","2019","EBS"," [kg]",542461255.484851,28777922.83367,0.062435910172359
"1","2020","EBS"," [kg]",0.00395765207271516,0.00123676252859554,0.439568219097682
"1","2021","EBS"," [kg]",489477848.948495,25041793.255126,0.060218963171728
"1","1982","NBS"," [kg]",70340300.5170949,18873607.3460408,0.372758628789762
"1","1983","NBS"," [kg]",119343206.185936,32056522.2559879,0.376365699252539
"1","1984","NBS"," [kg]",49201952.97724,13947049.2399254,0.402815424390437
"1","1985","NBS"," [kg]",79048441.5393486,16630758.9843425,0.28421666994737
"1","1986","NBS"," [kg]",45859403.0286945,12813163.4919165,0.399363771186728
"1","1987","NBS"," [kg]",102933743.791715,28269995.4549295,0.392051600721031
"1","1988","NBS"," [kg]",31171754.233975,4495663.13400928,0.181039888026561
"1","1989","NBS"," [kg]",26762189.906888,7189505.90657744,0.377827346035193
"1","1990","NBS"," [kg]",29067494.9194717,7721216.39351464,0.368347210518123
"1","1991","NBS"," [kg]",32005909.0584824,5483940.67824445,0.219906979653715
"1","1992","NBS"," [kg]",19436659.8229686,5551057.17478438,0.405780441516204
"1","1993","NBS"," [kg]",54261947.3203301,14734723.8516368,0.382333640415561
"1","1994","NBS"," [kg]",27366325.2571249,8883612.02948913,0.479610573869522
"1","1995","NBS"," [kg]",18123118.6211333,6071026.58473094,0.502326347015685
"1","1996","NBS"," [kg]",47880586.2256748,15486387.356995,0.484483032161738
"1","1997","NBS"," [kg]",35560224.1319021,11140390.8144034,0.464071589438722
"1","1998","NBS"," [kg]",59199624.8981595,17165836.5825058,0.42539297851715
"1","1999","NBS"," [kg]",9585189.54204496,3269889.43083411,0.539531635849944
"1","2000","NBS"," [kg]",20191776.1725002,6289168.38602785,0.459089316876174
"1","2001","NBS"," [kg]",29699408.459056,9730123.91273455,0.484957603413698
"1","2002","NBS"," [kg]",42350469.658815,12055051.5391414,0.415185140773707
"1","2003","NBS"," [kg]",58389437.4232249,17321195.7854957,0.444992350246864
"1","2004","NBS"," [kg]",31062749.6210814,9104898.88766801,0.43155201223837
"1","2005","NBS"," [kg]",35022575.0999364,9044291.76882328,0.365904862602756
"1","2006","NBS"," [kg]",11346559.435668,3411043.82554509,0.435514918478278
"1","2007","NBS"," [kg]",23954912.1213328,6804152.69999364,0.403993395757118
"1","2008","NBS"," [kg]",12165177.7730257,3612062.27604492,0.428330924162128
"1","2009","NBS"," [kg]",25765958.1823372,6894381.16733832,0.368023729140278
"1","2010","NBS"," [kg]",9285633.32478326,998375.054003776,0.125735889252378
"1","2011","NBS"," [kg]",45568345.165346,12294183.6178771,0.36872055632885
"1","2012","NBS"," [kg]",23997804.8681019,7457471.44329469,0.461541494562566
"1","2013","NBS"," [kg]",43314434.9416876,12966692.1493564,0.432540203644512
"1","2014","NBS"," [kg]",147760755.001097,42472266.8681526,0.416537663870578
"1","2015","NBS"," [kg]",136044711.246068,38907626.254666,0.414345218796967
"1","2016","NBS"," [kg]",231333260.125284,61345705.9013848,0.380935792390478
"1","2017","NBS"," [kg]",138539559.26228,9554362.08607188,0.0820808287596856
"1","2018","NBS"," [kg]",239183594.898417,22354505.4919866,0.11843386485093
"1","2019","NBS"," [kg]",214286603.441285,14450056.2272461,0.0808839882211289
"1","2020","NBS"," [kg]",0.000488014799874893,0.000173318488013867,0.500996562184532
"1","2021","NBS"," [kg]",117106038.570611,8123090.92738092,0.0823134834680825
