"","gridcode","Area_KM2","lon_centro","lat_centro","Shape_Leng","Shape_Area","lon","lat"
"13801",23583510,13.719616,-614654.2069,1934963.7754,0.238620454191,0.00279586966422,-168.015727706,66.786296716
"13802",59381724,13.719616,-610950.2069,1934963.7754,0.238624648602,0.00279665920586,-167.933731003,66.7932627931
"13803",14086221,13.719616,-607246.2069,1934963.7754,0.238628653044,0.00279744465621,-167.851691158,66.8001887151
"13804",10374161,13.719616,-603542.2069,1934963.7754,0.23863247034,0.00279822601456,-167.769608392,66.8070744477
"13805",43810260,13.719616,-599838.2069,1934963.7754,0.238636101974,0.00279900327388,-167.687482919,66.8139199579
"13806",42867864,13.719616,-596134.2069,1934963.7754,0.23863955272,0.00279977645131,-167.605314959,66.8207252118
"13807",6802965,13.719616,-592430.2069,1934963.7754,0.238642822224,0.00280054552381,-167.523104729,66.8274901756
"13808",39633568,13.719616,-588726.2069,1934963.7754,0.238645912806,0.00280131047755,-167.44085245,66.834214817
"13809",97169632,13.719616,-585022.2069,1934963.7754,0.238648824687,0.00280207126346,-167.358558342,66.8408991031
"13810",15524684,13.719616,-581318.2069,1934963.7754,0.238651564555,0.00280282792702,-167.276222625,66.8475430008
"13811",21845854,13.719616,-577614.2069,1934963.7754,0.238654127084,0.00280358035735,-167.193845522,66.8541464774
"13812",53476000,13.719616,-573910.2069,1934963.7754,0.238656524252,0.00280432875077,-167.111427255,66.8607095005
"13813",61607356,13.719616,-570206.2069,1934963.7754,0.238658751055,0.00280507294962,-167.028968047,66.8672320377
"13814",87275568,13.719616,-566502.2069,1934963.7754,0.238660809803,0.00280581291021,-166.946468122,66.8737140572
"13815",47468632,13.719616,-562798.2069,1934963.7754,0.238662702826,0.00280654861883,-166.863927705,66.8801555269
"13816",88947264,13.719616,-559094.2069,1934963.7754,0.238664435034,0.00280728014717,-166.781347021,66.8865564147
"13817",45967336,13.719616,-555390.2069,1934963.7754,0.238666005646,0.00280800746157,-166.698726296,66.8929166889
"13818",1826447,13.719616,-551686.2069,1934963.7754,0.238667417059,0.00280873052141,-166.616065757,66.8992363183
"13819",53004036,13.719616,-547982.2069,1934963.7754,0.238668674745,0.00280944941102,-166.533365632,66.9055152718
"13820",67258368,13.719616,-544278.2069,1934963.7754,0.238669773825,0.00281016394917,-166.450626148,66.9117535176
"13821",59245608,13.719616,-540574.2069,1934963.7754,0.238670723981,0.0028108742466,-166.367847536,66.9179510252
"13822",62920240,13.719616,-536870.2069,1934963.7754,0.238671521386,0.00281158020292,-166.285030023,66.9241077639
"13823",11849461,13.719616,-533166.2069,1934963.7754,0.238672169663,0.00281228188496,-166.202173841,66.9302237022
"13824",44419728,13.719616,-529462.2069,1934963.7754,0.238672677461,0.00281297938062,-166.119279221,66.9362988105
"13825",61917792,13.719616,-525758.2069,1934963.7754,0.238673036023,0.0028136724477,-166.036346394,66.9423330586
"13826",96330424,13.719616,-522054.2069,1934963.7754,0.238673255388,0.00281436122108,-165.953375593,66.9483264153
"13827",93341544,13.719616,-518350.2069,1934963.7754,0.23867333434,0.00281504566676,-165.870367051,66.9542788514
"13828",63776556,13.719616,-514646.2069,1934963.7754,0.238673277074,0.00281572578876,-165.787321002,66.9601903372
"13829",59891344,13.719616,-510942.2069,1934963.7754,0.238673083228,0.00281640149341,-165.70423768,66.9660608426
"13830",1807258,13.719616,-507238.2069,1934963.7754,0.238672756261,0.00281707283067,-165.62111732,66.9718903386
"13831",92281976,13.719616,-503534.2069,1934963.7754,0.238672297496,0.00281773980292,-165.537960159,66.9776787958
"13832",99184624,13.719616,-499830.2069,1934963.7754,0.238671710986,0.00281840238028,-165.454766432,66.9834261847
"13833",29974350,13.719616,-496126.2069,1934963.7754,0.238670998879,0.00281906057894,-165.371536377,66.9891324768
