"","X","Y","area_km2"
"115",-1027935.44203739,1615983.9708263,24.6953088
"116",-1005711.44203739,1615983.9708263,266.70933504
"117",-983487.442037387,1615983.9708263,484.02805248
"118",-961263.442037387,1615983.9708263,493.906176
"119",-939039.442037387,1615983.9708263,493.906176
"120",-916815.442037387,1615983.9708263,493.906176
"121",-894591.442037387,1615983.9708263,493.906176
"122",-872367.442037387,1615983.9708263,167.92809984
"123",-850143.442037387,1615983.9708263,14.81718528
"124",-827919.442037387,1615983.9708263,153.11091456
"125",-805695.442037387,1615983.9708263,74.0859264
"126",-783471.442037387,1615983.9708263,449.45462016
"127",-761247.442037387,1615983.9708263,493.906176
"128",-739023.442037387,1615983.9708263,493.906176
"129",-716799.442037387,1615983.9708263,493.906176
"130",-694575.442037387,1615983.9708263,493.906176
