OBJECTID,Id,gridcode,ShapeLon,ShapeLat,MeanSediment,ARDEMdepth,Depth,Shape_Length,Shape_Area,Lon,Lat
1413,698817,42618684,-173.2556045,56.86965834,144.7585144,141.9789581,,14392.00675,13455277.71,-173.2549509,56.86947663
1414,698818,7284766,-173.223266,56.88233484,142.0225983,137.1000671,,7039.634562,1866519.837,-173.1966114,56.87895196
1415,700156,49267668,-173.4530783,56.79555333,901.4280396,786.999939,,11361.64893,4867729.788,-173.4704315,56.79951875
1416,700157,86124984,-173.4122609,56.80909801,664.2919922,601,,14816,13719616,-173.4122609,56.80909801
1417,700158,60702244,-173.3540597,56.81864932,185.4827271,170.0001373,,14816,13719616,-173.3540597,56.81864932
1418,700159,51010568,-173.2958279,56.82817267,151.3333435,150.6078796,,14816,13719616,-173.2958279,56.82817267
1419,700160,96879984,-173.2527456,56.83936327,145.4630585,153.0001526,,11880.52637,6429005.297,-173.2375655,56.83766801
1420,701498,85848280,-173.4803207,56.75221031,1105.644043,1188.680298,,4842.278789,766088.8211,-173.5109845,56.7581395
1421,701499,95569664,-173.4513797,56.76739488,692.1112061,717.3664551,,14181.25388,13085167.49,-173.4528909,56.76773863
1422,701500,75134576,-173.3947667,56.77730984,310.6795349,440.5781555,,14816,13719616,-173.3947667,56.77730984
1423,701501,17593174,-173.3366119,56.78685312,155.7991791,158.3001099,,14816,13719616,-173.3366119,56.78685312
1424,701502,72364224,-173.2789797,56.79650009,143.8602448,141.098465,,14500.02433,13499956.5,-173.2784265,56.79636845
1425,701503,69757336,-173.2506112,56.8098594,143.5397644,144.9746246,,5766.798404,816527.9876,-173.2202107,56.80585581
1426,702841,94807936,-173.4719504,56.72961194,1400.64917,1157.001953,,9053.911144,3608334.775,-173.4934285,56.72636378
1427,702842,63868652,-173.4353811,56.73595486,1334.560425,876.6114502,,14816,13719616,-173.4353811,56.73595486
1428,702843,26717338,-173.3773031,56.74551804,542.0477295,442.8553772,,14816,13719616,-173.3773031,56.74551804
1429,702844,36316388,-173.3191946,56.75505331,152.8772736,160.1001587,,14816,13719616,-173.3191946,56.75505331
1430,702845,36721308,-173.2685818,56.76423124,139.9920197,139.9082794,,13441.67346,10286081.09,-173.2610556,56.76456064
1431,704184,65563880,-173.4544397,56.70440714,1622.668335,1427.582275,,8424.290198,1475495.228,-173.4759032,56.6945844
1432,704185,17482732,-173.4179018,56.70416744,1222.684937,1101.615234,,14816,13719616,-173.4179018,56.70416744
1433,704186,44152616,-173.35987,56.7137226,500.0855408,402.0999451,,14816,13719616,-173.35987,56.7137226
1434,704187,39767004,-173.3018077,56.72324987,207.1319885,178.8999481,,14816,13719616,-173.3018077,56.72324987
1435,704188,14143371,-173.2444471,56.73195467,141.4888763,147.3412781,,14289.76914,13096957.14,-173.243715,56.73274923
1436,704189,32563204,-173.1834446,56.73705166,137.2273712,128.1001282,,12702.70589,9330438.313,-173.185592,56.74222064
1437,704190,26385724,-173.1263321,56.74399519,133.479187,134.0435028,,11303.58171,7292627.221,-173.1274388,56.75166411
1438,704191,34602512,-173.0785293,56.74651787,134.6674805,138.3999786,,6464.750787,1731374.25,-173.0692554,56.76107959
1439,705527,99718616,-173.4373448,56.68111826,1865.277344,1545.27478,,1527.000662,33348.71072,-173.4584084,56.66280135
1440,705528,16915382,-173.399,56.67324473,1700.464111,1448.824829,,14173.65636,12828037.51,-173.4004531,56.67237637
1441,705529,67623792,-173.3424674,56.68192353,1213.415772,869.1409912,,14816,13719616,-173.3424674,56.68192353
1442,705530,47246752,-173.2844512,56.69144282,343.6390686,417.616272,,14816,13719616,-173.2844512,56.69144282
1443,705531,12648143,-173.2264048,56.70093421,160.044342,169.5428467,,14816,13719616,-173.2264048,56.70093421
1444,705532,80283352,-173.1683282,56.71039768,139.574646,132.777832,,14816,13719616,-173.1683282,56.71039768
1445,705533,4956483,-173.1102213,56.71983321,132.2012177,131.4300232,,14816,13719616,-173.1102213,56.71983321
1446,705534,19959328,-173.0526477,56.72858205,129.5109253,133.9999695,,14265.88119,13216726.28,-173.0520844,56.72924079
1447,705535,24662036,-173.0021152,56.72971524,133.4263611,133.5402222,,10262.36022,5096219.434,-172.9939174,56.73862039
1448,706871,47003476,-173.3741782,56.64728166,1817.635498,1755.469849,,11083.0638,6435976.579,-173.3830348,56.64058164
1449,706872,66206888,-173.3250334,56.65018536,1521.236816,1420.643555,,14644.9154,13674695.04,-173.3250951,56.65012082
1450,706873,81470240,-173.2671251,56.65963214,921.0925293,917.6000977,,14816,13719616,-173.2671251,56.65963214
1451,706874,10413487,-173.2091248,56.66911558,298.1602783,338.4247437,,14816,13719616,-173.2091248,56.66911558
1452,706875,15282076,-173.1510944,56.67857113,159.4391022,185.258255,,14816,13719616,-173.1510944,56.67857113
1453,706876,75009248,-173.0930339,56.68799875,135.8664856,186.4383087,,14816,13719616,-173.0930339,56.68799875
1454,706877,23052364,-173.0349434,56.69739843,129.1543274,133.2994385,,14816,13719616,-173.0349434,56.69739843
1455,706878,89480376,-172.9773128,56.70632348,126.5233154,132.9567566,,14344.08857,13368792.32,-172.9768229,56.70677015
1456,706879,70506560,-172.9344119,56.70454347,130.2589874,132.4263916,,7434.262528,2249513.599,-172.9186725,56.71611389
1457,708215,84594232,-173.3013158,56.62929104,1672.263794,1617.266235,,9774.740001,4001913.928,-173.3077531,56.61831448
1458,708216,64408088,-173.2484924,56.62975093,1481.939575,1320.000732,,13826.84026,12132028.71,-173.2498291,56.62781785
1459,708217,70251416,-173.191875,56.63729335,941.1497192,1057.800171,,14816,13719616,-173.191875,56.63729335
1460,708218,81764432,-173.1338908,56.64674098,289.7043152,795.5321655,,14816,13719616,-173.1338908,56.64674098
1461,708219,34463144,-173.0758766,56.65616071,151.6512146,586.8129883,,14816,13719616,-173.0758766,56.65616071
1462,708220,86717472,-173.0178324,56.66555251,137.3618774,172.6260681,,14816,13719616,-173.0178324,56.66555251
1463,708221,12641097,-172.9597583,56.67491637,130.3904266,133.7898865,,14816,13719616,-172.9597583,56.67491637
1464,708222,26275762,-172.9095116,56.68128089,125.2420578,131.468689,,12525.28011,9331761.68,-172.9016544,56.68425228
1465,709559,18535986,-173.2181405,56.61308536,1697.244751,1507.795776,,3818.942615,575427.2788,-173.2325634,56.59599993
1466,709560,44879192,-173.173425,56.61363183,1415.329346,1365.699951,,11588.39482,6760062.509,-173.1746553,56.60546752
1467,709561,4421239,-173.1180547,56.61762151,793.9095459,1290.524902,,13271.106,11389560.41,-173.1167172,56.61490724
1468,709562,65597236,-173.0607284,56.62798419,261.9542542,974.2844238,,13322.4957,10556730.04,-173.0587492,56.62431909
1469,709563,857088,-173.0000308,56.63505406,223.7044983,388.8486023,,14178.99686,12654789.43,-173.0007513,56.63370303
1470,709564,29649496,-172.9427236,56.64305905,140.729126,143.8998108,,14816,13719616,-172.9427236,56.64305905
1471,709565,25823516,-172.8852711,56.65190326,129.1847687,133.0683899,,14359.69344,13314968.31,-172.8846661,56.65238713
1472,709566,9372698,-172.8465858,56.64848971,128.4954834,134.2512207,,5285.048445,925351.9245,-172.826579,56.66168724
1473,710906,40110356,-172.9669847,56.61589726,487.1957703,402.2987366,,5846.693604,1222278.234,-172.9837,56.60184999
1474,710907,75762528,-172.9254021,56.61136206,342.8418884,367.0259094,,14857.48959,13539883.4,-172.9257186,56.61119818
1475,710908,58606024,-172.8677075,56.62051845,137.6241608,191.4912415,,14816,13719616,-172.8677075,56.62051845
1476,710909,99214408,-172.8306145,56.62525087,130.9739838,142.7281189,,9253.458138,3485424.652,-172.8096668,56.62981077
1477,712250,33569288,-172.9087427,56.57933358,991.3093872,771.5860596,,9386.831523,2312333.987,-172.9087433,56.57933376
1478,712251,44079672,-172.8507785,56.58864623,183.0084534,211.8000031,,14807.53604,13719387.44,-172.8507785,56.58864623
1479,712252,27537128,-172.8123922,56.59441528,144.8592987,139.0000305,,14816,13719616,-172.7927842,56.59793078
1480,712249,19058484,-172.941866,56.56630433,1482.54541,949.2075806,,9806.79721,4349655.778,-172.9666785,56.56999338
