"","gridcode","Stratum","Area_KM2","lon_centro","lat_centro","Shape_Leng","Shape_Area","lon","lat"
"12915",18597274,"70",13.719616,-859118.2069,1368251.7754,0.208276361579,0.00230025701237,-170.272466785,61.3427327325
"12916",5887509,"70",13.719616,-855414.2069,1368251.7754,0.208291456012,0.00230084250479,-170.205067269,61.3507501909
"12917",88738784,"70",13.719616,-851710.2069,1368251.7754,0.208306418202,0.00230142598595,-170.137633676,61.3587350362
"12918",13397020,"70",13.719616,-848006.2069,1368251.7754,0.208321244699,0.00230200735783,-170.070166118,61.366687244
"12919",33160966,"70",13.719616,-844302.2069,1368251.7754,0.208335942689,0.00230258675659,-170.002664709,61.37460679
"12920",81955984,"70",13.719616,-840598.2069,1368251.7754,0.208350508475,0.00230316406741,-169.935129564,61.3824936486
"12921",23358128,"70",13.719616,-836894.2069,1368251.7754,0.208364941682,0.00230373930004,-169.867560795,61.3903477966
"12922",12808266,"70",13.719616,-833190.2069,1368251.7754,0.208379246282,0.00230431250031,-169.799958519,61.398169209
"12923",46490524,"70",13.719616,-829486.2069,1368251.7754,0.208393419718,0.00230488357732,-169.732322851,61.4059578613
"12924",52517412,"70",13.719616,-825782.2069,1368251.7754,0.208407463458,0.00230545259035,-169.664653906,61.4137137297
"12925",36318452,"70",13.719616,-822078.2069,1368251.7754,0.208421379202,0.00230601955762,-169.596951801,61.4214367902
"12926",38544680,"70",13.719616,-818374.2069,1368251.7754,0.208435166671,0.00230658441583,-169.529216651,61.4291270184
"12927",30532128,"70",13.719616,-814670.2069,1368251.7754,0.208448825798,0.00230714716994,-169.461448574,61.4367843905
"12928",43580332,"70",13.719616,-810966.2069,1368251.7754,0.208462357313,0.0023077078482,-169.393647687,61.4444088823
"12929",80611128,"70",13.719616,-807262.2069,1368251.7754,0.208475760911,0.00230826638934,-169.325814108,61.45200047
"12930",68628480,"70",13.719616,-803558.2069,1368251.7754,0.208489039508,0.00230882281822,-169.257947954,61.4595591302
"12931",40337324,"70",13.719616,-799854.2069,1368251.7754,0.208502193514,0.00230937716688,-169.190049343,61.467084839
"12932",95548840,"70",13.719616,-796150.2069,1368251.7754,0.208515218535,0.00230992932738,-169.122118396,61.4745775727
"12933",33157440,"70",13.719616,-792446.2069,1368251.7754,0.208528120495,0.00231047939891,-169.05415523,61.4820373082
"12934",19186952,"70",13.719616,-788742.2069,1368251.7754,0.208540900234,0.00231102739152,-168.986159965,61.4894640216
"12935",30231752,"70",13.719616,-785038.2069,1368251.7754,0.208553554551,0.00231157320295,-168.918132722,61.4968576898
"12936",69262648,"70",13.719616,-781334.2069,1368251.7754,0.208566085599,0.00231211683042,-168.850073621,61.5042182892
"12937",49885916,"70",13.719616,-777630.2069,1368251.7754,0.208578493993,0.00231265832295,-168.781982781,61.5115457967
"12938",53384880,"70",13.719616,-773926.2069,1368251.7754,0.208590780056,0.00231319768011,-168.713860324,61.5188401895
"12939",35718564,"70",13.719616,-770222.2069,1368251.7754,0.208602945875,0.00231373489866,-168.645706373,61.526101444
"12940",65112440,"70",13.719616,-766518.2069,1368251.7754,0.208614989829,0.00231426992822,-168.577521048,61.533329538
"12941",79126528,"70",13.719616,-762814.2069,1368251.7754,0.208626914008,0.00231480278706,-168.509304471,61.5405244481
"12942",26915214,"70",13.719616,-759110.2069,1368251.7754,0.208638718654,0.00231533347371,-168.441056766,61.5476861516
"12943",45517456,"70",13.719616,-755406.2069,1368251.7754,0.20865040018,0.00231586190421,-168.372778055,61.5548146252
"12944",51383288,"70",13.719616,-751702.2069,1368251.7754,0.208661967759,0.00231638824864,-168.304468461,61.5619098471
"12945",93035200,"70",13.719616,-747998.2069,1368251.7754,0.208673415766,0.00231691235836,-168.236128109,61.5689717947
