"","X","Y","area_km2","geometry"
"515...38",343.242693904646,6939.23177319924,493.906176,c(343242.693904646, 6939231.77319924)
"516...39",364.809761787975,6944.80876816095,493.906176,c(364809.761787975, 6944808.76816095)
"517...40",386.3737287897,6950.39000233568,493.906176,c(386373.7287897, 6950390.00233568)
"518",407.934777412045,6955.97567422957,493.906176,c(407934.777412045, 6955975.67422957)
"519",429.132390536493,6961.69449362244,479.238251457936,c(429132.390536493, 6961694.49362244)
"520",438.720092825743,6972.11124147267,6.72683468362331,c(438720.092825743, 6972111.24147267)
"549",247.562771269417,6902.58457769289,3.50206305906141,c(247562.771269417, 6902584.57769289)
"550",263.01797578952,6904.06210695693,111.752965277576,c(263017.97578952, 6904062.10695693)
"551",283.954310974918,6906.06700036535,268.904930368483,c(283954.310974918, 6906067.00036535)
"552",306.012089894023,6908.19298283545,425.690809881538,c(306012.089894023, 6908192.98283545)
"553...48",327.293709832451,6912.21695046413,493.906176,c(327293.709832451, 6912216.95046413)
"554...49",348.865611049572,6917.79205178347,493.906176,c(348865.611049572, 6917792.05178347)
"555...50",370.43445597314,6923.37095967852,493.906176,c(370434.45597314, 6923370.95967852)
"556...51",392.000425479679,6928.95387658181,493.906176,c(392000.425479679, 6928953.87658181)
"557...52",413.563702093344,6934.54100253303,493.906176,c(413563.702093344, 6934541.00253303)
"558...53",433.13878402926,6939.94881797849,405.628453472035,c(433138.78402926, 6939948.81797849)
"591",318.868118861302,6898.42875315446,0.366085577848285,c(318868.118861302, 6898428.75315446)
"592",333.909310272895,6899.87684079734,89.3026845502917,c(333909.310272895, 6899876.84079735)
"593",354.276013960236,6901.84088111274,246.454649641198,c(354276.013960236, 6901840.88111274)
"594",376.378269025454,6902.33105585829,474.212590196277,c(376378.269025453, 6902331.05585829)
"595",397.630060661189,6907.52158867229,493.906176,c(397630.060661189, 6907521.58867228)
"596",419.195337090094,6913.11013702494,493.906176,c(419195.337090094, 6913110.13702494)
"597",437.59405094625,6918.11034833878,351.093916101777,c(437594.05094625, 6918110.34833878)
