OBJECTID,Id,gridcode,ShapeLongitude,ShapeLatitude,Shape_Length,Shape_Area,Longitude,Latitude
10950,713974,30583024,-149.4779279,57.93395,14816,13719616,-149.47793,57.93395
10951,713975,87090720,-149.4153686,57.9316784,14816,13719616,-149.41537,57.9316784
10952,713976,7749726,-149.3528174,57.9293755,14816,13719616,-149.35282,57.9293755
10953,713977,43894764,-149.2902744,57.9270416,14816,13719616,-149.29027,57.9270416
10954,713978,94502624,-149.2277399,57.9246764,14816,13719616,-149.22774,57.9246764
10955,713979,7627561,-149.1652138,57.9222801,14816,13719616,-149.16521,57.9222801
10956,713980,20929204,-149.1026963,57.9198527,14816,13719616,-149.10270,57.9198527
10957,713981,85210296,-149.0401874,57.9173942,14816,13719616,-149.04019,57.9173942
10958,713982,84092136,-148.9776874,57.9149045,14816,13719616,-148.97769,57.9149045
10965,714196,95566424,-135.973435,56.6830886,14816,13719616,-135.97344,56.6830886
10966,714197,50127916,-135.9151134,56.6741732,14816,13719616,-135.91511,56.6741732
10967,714198,37389780,-135.8568203,56.6652297,14816,13719616,-135.85682,56.6652297
10968,714199,16980030,-135.7985559,56.6562581,14816,13719616,-135.79856,56.6562581
10969,714200,23356870,-135.7403202,56.6472583,14816,13719616,-135.74032,56.6472583
10970,714201,64570884,-135.6821133,56.6382304,14816,13719616,-135.68211,56.6382304
10971,714202,37741972,-135.6239353,56.6291744,14816,13719616,-135.62394,56.6291744
10972,714203,11583096,-135.5657863,56.6200903,14816,13719616,-135.56579,56.6200903
10973,714204,53669316,-135.5076662,56.6109783,14816,13719616,-135.50767,56.6109783
10974,714205,7723924,-135.4495752,56.6018381,14816,13719616,-135.44958,56.6018381
10975,714206,60771168,-135.3915133,56.59267,14816,13719616,-135.39151,56.59267
10976,714207,27582224,-135.3334806,56.5834739,14816,13719616,-135.33348,56.5834739
10977,714208,69428344,-135.2754772,56.5742498,14816,13719616,-135.27548,56.5742498
10978,714209,89840408,-135.2175032,56.5649978,14816,13719616,-135.21750,56.5649978
10979,714210,3097804,-135.1595585,56.5557179,14816,13719616,-135.15956,56.5557179
10980,714211,82464184,-135.1016433,56.54641,14816,13719616,-135.10164,56.54641
