"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1995","EBS"," [kg]",688124811.717969,28386725.7493175,0.0478266775287783
"1","1996","EBS"," [kg]",552092793.549799,23508745.3486166,0.0494370068848379
"1","1997","EBS"," [kg]",469720970.084276,19068301.818761,0.0472043360824337
"1","1998","EBS"," [kg]",547532809.725001,29021930.972675,0.0616374920253323
"1","1999","EBS"," [kg]",510020953.50989,24133715.7335921,0.055413080199133
"1","2000","EBS"," [kg]",480530159.946718,20779954.2325231,0.0500557975055981
"1","2001","EBS"," [kg]",961218032.851143,43146822.0700319,0.0519793706344125
"1","2002","EBS"," [kg]",573785648.536754,31068180.3723617,0.0628838788784725
"1","2003","EBS"," [kg]",546025938.984371,30944189.2440001,0.0662982996599458
"1","2004","EBS"," [kg]",438711281.085616,25078742.1677452,0.0661678502337206
"1","2005","EBS"," [kg]",457024671.820796,22814710.8700527,0.0580188675038676
"1","2006","EBS"," [kg]",420231462.926867,16514630.1095367,0.0454398308296011
"1","2007","EBS"," [kg]",546295087.629038,23652001.564743,0.0502994255443384
"1","2008","EBS"," [kg]",465412204.845525,20980516.8719355,0.0524373997937837
"1","2009","EBS"," [kg]",685225750.769465,26843315.4288551,0.0455018791110051
"1","2010","EBS"," [kg]",721181810.659188,30833042.6341813,0.0491889173778007
"1","2011","EBS"," [kg]",798693300.96183,32176122.5062222,0.0466725257753755
"1","2012","EBS"," [kg]",1000406319.56786,51329689.822553,0.0604508590469183
"1","2013","EBS"," [kg]",698193485.078278,32015486.4317418,0.0533359495105422
"1","2014","EBS"," [kg]",1085655978.30095,54727061.3737704,0.0588352815375953
"1","2015","EBS"," [kg]",948431488.451,44970886.0677746,0.0551629724695607
"1","2016","EBS"," [kg]",690609132.977238,31285150.4755332,0.0529235107814286
"1","2017","EBS"," [kg]",372139339.08538,15725099.4717385,0.049305960224686
"1","2018","EBS"," [kg]",285998194.55581,14548949.7492759,0.0597537021344611
"1","2019","EBS"," [kg]",537758521.728503,28767227.3642202,0.0629963280122637
"1","2020","EBS"," [kg]",0.00387809535196876,0.00118733670313963,0.428699527382695
"1","2021","EBS"," [kg]",481152098.949302,23403341.8370274,0.0571601173903995
"1","1982","NBS"," [kg]",69854086.2856964,18575131.3430051,0.372503137580413
"1","1983","NBS"," [kg]",117231098.676642,31083756.481697,0.374071622721678
"1","1984","NBS"," [kg]",49975060.4143604,14006785.5872424,0.402752474280512
"1","1985","NBS"," [kg]",80108444.9443997,16678876.4721814,0.28347865945699
"1","1986","NBS"," [kg]",47459716.6534939,13087343.6618364,0.39846775782167
"1","1987","NBS"," [kg]",104364171.344219,28389661.2568927,0.391025353827015
"1","1988","NBS"," [kg]",32551905.8646579,4834622.96251298,0.188863068550647
"1","1989","NBS"," [kg]",27464809.5177193,7379674.19471597,0.382452186169047
"1","1990","NBS"," [kg]",29627060.1269007,7880927.44825651,0.374959809318188
"1","1991","NBS"," [kg]",32372385.8147987,5742210.34616104,0.232390525719516
"1","1992","NBS"," [kg]",20807342.5872972,5931466.00625894,0.41327659124462
"1","1993","NBS"," [kg]",57417312.2059229,15567370.3618894,0.387137776010097
"1","1994","NBS"," [kg]",30367194.6132011,9850078.71731817,0.491731982646932
"1","1995","NBS"," [kg]",19988938.5544117,6684385.15547152,0.51487133639427
"1","1996","NBS"," [kg]",51920403.3276809,16674593.3358509,0.489976981096285
"1","1997","NBS"," [kg]",37925591.663958,11834472.5325548,0.470827052721416
"1","1998","NBS"," [kg]",61967163.216308,17896497.512915,0.431013296318035
"1","1999","NBS"," [kg]",9998335.08988985,3409497.06838601,0.564347954578392
"1","2000","NBS"," [kg]",22403168.0841488,7025630.1507138,0.473149180871501
"1","2001","NBS"," [kg]",34180507.2626981,11395258.284373,0.507394083291516
"1","2002","NBS"," [kg]",46649045.880203,13410823.6631241,0.427525083722716
"1","2003","NBS"," [kg]",63264783.8865511,18849096.3073046,0.456374440214495
"1","2004","NBS"," [kg]",34025801.1315748,10104672.7030846,0.446793839231519
"1","2005","NBS"," [kg]",37715218.8660188,10060286.7139425,0.387326770950495
"1","2006","NBS"," [kg]",12773978.8375128,3917189.43093602,0.456123464160996
"1","2007","NBS"," [kg]",24680116.930865,6976204.05975403,0.411959201204462
"1","2008","NBS"," [kg]",12725374.7192447,3747675.66210438,0.436004575786951
"1","2009","NBS"," [kg]",27750348.7104464,7282898.50223827,0.365585674915657
"1","2010","NBS"," [kg]",9596273.9481927,1018845.83325168,0.125954717670709
"1","2011","NBS"," [kg]",46810493.4435422,12526583.1542095,0.37202803978745
"1","2012","NBS"," [kg]",25330318.9840025,7737039.68580297,0.464424333355635
"1","2013","NBS"," [kg]",45109387.2406664,13434391.958436,0.438305259875832
"1","2014","NBS"," [kg]",152295697.213213,43759529.6128312,0.422216551477556
"1","2015","NBS"," [kg]",144335052.491167,41131271.6575282,0.417986377811314
"1","2016","NBS"," [kg]",235785180.994855,62519533.1851778,0.385398669492767
"1","2017","NBS"," [kg]",142975831.760767,9986394.40153945,0.0835836743881444
"1","2018","NBS"," [kg]",235135835.82066,22096136.2534269,0.120115981772709
"1","2019","NBS"," [kg]",222338090.735749,14964344.1048758,0.0809895688366712
"1","2020","NBS"," [kg]",0.000489617438071348,0.000169114528025103,0.490804195044361
"1","2021","NBS"," [kg]",116521715.102895,8038279.47757831,0.0818850757347888
