"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"11","2009","EBS"," [kg]",731678.870259374,125590.817902538,0.191988711358783
"12","2009","EBS"," [kg]",533918.336493237,103827.901305956,0.223690805456562
"13","2009","EBS"," [kg]",317934.681027012,72633.7483104097,0.271732736762027
"1","2010","EBS"," [kg]",0,0,0
"2","2010","EBS"," [kg]",37428615.8438492,4244727.58554455,0.127408761961265
"3","2010","EBS"," [kg]",400018793.202815,30166384.1398571,0.0831906429685161
"4","2010","EBS"," [kg]",157611646.425439,11314883.7305518,0.079318735330607
"5","2010","EBS"," [kg]",171083778.739289,9987066.18499396,0.063146506791691
"6","2010","EBS"," [kg]",53352786.780645,2840459.29576829,0.0566438243493974
"7","2010","EBS"," [kg]",12875951.8932325,727597.033535358,0.0596553919258855
"8","2010","EBS"," [kg]",6740450.48081645,425708.779041658,0.0667722159995783
"9","2010","EBS"," [kg]",2201062.10345163,226887.602574673,0.110084882484866
"10","2010","EBS"," [kg]",1242374.08213367,141170.772131967,0.122805609305318
"11","2010","EBS"," [kg]",495038.302203847,88096.834426562,0.200105220600661
"12","2010","EBS"," [kg]",537695.112889902,87015.6180926457,0.18421823749658
"13","2010","EBS"," [kg]",116949.854975022,29644.0052542033,0.303290887905727
"1","2011","EBS"," [kg]",50383.2004144888,7838.07846844018,0.169517571831803
"2","2011","EBS"," [kg]",238810946.802948,19512569.1844524,0.0899767700150759
"3","2011","EBS"," [kg]",63846779.3531555,4903681.93894859,0.084463045847681
"4","2011","EBS"," [kg]",327966811.14517,21960818.3725412,0.0734266733451851
"5","2011","EBS"," [kg]",97294571.9071309,5421230.53443816,0.0603517693127429
"6","2011","EBS"," [kg]",78999882.819637,4027594.0858037,0.0546072313600006
"7","2011","EBS"," [kg]",23783422.6838252,1226119.15435552,0.0548753811265917
"8","2011","EBS"," [kg]",5967054.91553837,357287.825745489,0.0635827643293084
"9","2011","EBS"," [kg]",2492393.52430599,195412.281446896,0.0830194105293058
"10","2011","EBS"," [kg]",1279875.46988645,160668.680035659,0.136524237178187
"11","2011","EBS"," [kg]",901526.291931447,151686.962345635,0.188570156039995
"12","2011","EBS"," [kg]",552514.584137732,90625.1232040032,0.187570537748485
"13","2011","EBS"," [kg]",406659.861571626,92984.379809895,0.270881737133306
"1","2012","EBS"," [kg]",0,0,0
"2","2012","EBS"," [kg]",382222133.427124,48579676.3480834,0.144557235223351
"3","2012","EBS"," [kg]",243095504.444096,19768248.3973089,0.0898592583529048
"4","2012","EBS"," [kg]",62682612.2720397,4809719.01455651,0.0842750901795674
"5","2012","EBS"," [kg]",226287923.066864,15759956.898284,0.0758621221964538
"6","2012","EBS"," [kg]",58784324.2025276,3229320.81289445,0.0591697082221557
"7","2012","EBS"," [kg]",28814363.4271818,1535559.56373704,0.0569363938612222
"8","2012","EBS"," [kg]",7289248.7242858,412691.589619085,0.0603014473944951
"9","2012","EBS"," [kg]",2215768.6804771,173286.776216407,0.0828693541309805
"10","2012","EBS"," [kg]",1585763.67165908,149553.068295176,0.101300708837033
"11","2012","EBS"," [kg]",544205.309617489,107013.811411202,0.221194660460914
"12","2012","EBS"," [kg]",147025.829184709,39415.4562120019,0.312988588477074
"13","2012","EBS"," [kg]",199628.240409563,62514.4990712015,0.379140225184998
"1","2013","EBS"," [kg]",0,0,0
"2","2013","EBS"," [kg]",68436144.5165871,7003347.38842974,0.114876721169371
"3","2013","EBS"," [kg]",252701750.489435,20239350.4924715,0.0893722754356192
"4","2013","EBS"," [kg]",138649246.074484,8707164.19097498,0.0690119752417024
"5","2013","EBS"," [kg]",84109450.2426067,4629995.1041266,0.0597294854909156
"6","2013","EBS"," [kg]",87402659.397618,4408341.5021775,0.054390240599277
"7","2013","EBS"," [kg]",38073163.8461877,1940560.16228972,0.0547177303981932
"8","2013","EBS"," [kg]",8783867.5381477,494860.740564414,0.0601563522054866
"9","2013","EBS"," [kg]",2562300.65860045,197143.579541385,0.0815916299556546
"10","2013","EBS"," [kg]",716006.46094222,83109.1715234563,0.125858630909939
"11","2013","EBS"," [kg]",170521.256278875,52403.9824285514,0.351202437258163
"12","2013","EBS"," [kg]",236028.340699713,58204.3193451559,0.287949671427421
"13","2013","EBS"," [kg]",222792.908791899,69891.7709625151,0.381393621401978
"1","2014","EBS"," [kg]",29145.2541524623,14782.3432995643,0.610379530649535
"2","2014","EBS"," [kg]",330008505.769301,39294970.601886,0.13559436636338
"3","2014","EBS"," [kg]",184795843.237118,16224314.1369699,0.0986202209373149
"4","2014","EBS"," [kg]",259271902.762263,19010116.5348453,0.0816621403128423
"5","2014","EBS"," [kg]",212743953.338596,13164868.2754635,0.0674700168462083
"6","2014","EBS"," [kg]",54656652.9584195,2844319.24554697,0.0558696407086616
"7","2014","EBS"," [kg]",42426528.5730052,2003803.65506731,0.0504126924227084
"8","2014","EBS"," [kg]",10965864.4309245,542454.722684696,0.0524828125227828
"9","2014","EBS"," [kg]",2275256.57248122,180459.041235927,0.084023429656815
"10","2014","EBS"," [kg]",961173.570757051,126672.52521405,0.1435081832424
"11","2014","EBS"," [kg]",873295.77865436,122246.218046707,0.155009333489253
"12","2014","EBS"," [kg]",100885.794694593,33885.8427404254,0.397725287912096
"13","2014","EBS"," [kg]",608207.79894919,145461.856201054,0.286633685866471
"1","2015","EBS"," [kg]",18400.6130452163,12869.3623058382,0.846999195631299
"2","2015","EBS"," [kg]",57302594.9110838,5668734.2783917,0.111259159141514
"3","2015","EBS"," [kg]",436791245.03066,36131707.5156576,0.0925694487691238
"4","2015","EBS"," [kg]",210901313.289315,16437017.4475046,0.086077199297483
"5","2015","EBS"," [kg]",184917874.274981,11473461.9347953,0.0673981499373303
"6","2015","EBS"," [kg]",74180002.815937,3800788.98849673,0.0547140564898158
"7","2015","EBS"," [kg]",17118082.6327415,920271.010395972,0.0566261038981665
"8","2015","EBS"," [kg]",10436081.5277178,572270.319795506,0.0577442302853373
"9","2015","EBS"," [kg]",2276531.28431517,187098.321716134,0.086507469519732
"10","2015","EBS"," [kg]",429676.869415182,62514.8167238383,0.158830228336175
"11","2015","EBS"," [kg]",225772.665273921,67157.7850512996,0.33972155546101
"12","2015","EBS"," [kg]",109166.289867832,36197.2066125008,0.391481962422095
"13","2015","EBS"," [kg]",182101.829430819,61654.1195252872,0.409364156407375
"1","2016","EBS"," [kg]",1775.11765415189,1783.4379088064,1.23898994972502
"2","2016","EBS"," [kg]",70683669.2540837,7959739.57167344,0.126184068133956
"3","2016","EBS"," [kg]",63755377.2800918,4973928.65741212,0.0872547564250645
"4","2016","EBS"," [kg]",246432382.257746,16468889.553627,0.0742255412792113
"5","2016","EBS"," [kg]",150373416.011163,8433499.602362,0.0611500204725559
"6","2016","EBS"," [kg]",99311878.5185004,4697631.36597766,0.0507251258440655
"7","2016","EBS"," [kg]",34386739.3809935,1617058.39417757,0.0500421553409099
"8","2016","EBS"," [kg]",7741081.07103116,395599.098384679,0.0538920602889703
"9","2016","EBS"," [kg]",2390165.97333857,164746.692591877,0.0724534288733973
"10","2016","EBS"," [kg]",932549.899044011,111520.478671056,0.129133910909121
"11","2016","EBS"," [kg]",313304.780491613,76617.7157304986,0.278505028850765
"12","2016","EBS"," [kg]",203939.390475333,53013.1154251834,0.303668280558039
"13","2016","EBS"," [kg]",95006.2783758351,29352.8118324982,0.373685143664013
"1","2017","EBS"," [kg]",21024.4968675789,5617.74450992383,0.307207832599332
"2","2017","EBS"," [kg]",48015611.9903706,4987658.37574943,0.116717350836151
"3","2017","EBS"," [kg]",62175008.5744141,5617721.54004724,0.100913006498454
"4","2017","EBS"," [kg]",63811423.1020395,4464314.56522206,0.0778991293030385
"5","2017","EBS"," [kg]",106371952.356772,5978083.31648528,0.0614308128832832
"6","2017","EBS"," [kg]",49572258.4086375,2390351.73712492,0.0519310491685114
"7","2017","EBS"," [kg]",28154475.4825669,1348953.33340341,0.0510503516136734
"8","2017","EBS"," [kg]",7582192.41478317,411391.452329141,0.057688467337173
"9","2017","EBS"," [kg]",1195723.47988867,149662.348333202,0.135171652164753
