"","age_0","age_1","age_2","age_3","age_4","age_5","age_6","age_7","age_8","age_9","age_10","age_11","age_12+","Year","Region"
"X11",4.25066074600262e-05,0.136988133549453,0.162184696888668,0.265790472522654,0.126005634897636,0.132103255067138,0.100564854268713,0.0394832120798949,0.022964786613985,0.00876509514725733,0.00229960271279075,0.00196889049363078,0.000838859150719595,"2004","Both"
"X12",3.64691230555281e-06,0.147359356893558,0.23113030229679,0.208550826386124,0.128644107515524,0.0708708331456262,0.0963560320949798,0.0665130062736243,0.0296729096782775,0.011875000245702,0.0039657644295918,0.00447339193780889,0.000584822190086924,"2005","Both"
"X13",0,0.33085341902135,0.140251970795931,0.164628723073715,0.112279396511244,0.0905128088776429,0.0648001659856601,0.0480686804111931,0.0314811948416245,0.0111531576680895,0.0036164566574149,0.00142604210082626,0.000927984055309105,"2006","Both"
"X14",0,0.657374478757643,0.105903629667677,0.074367834198702,0.0497302312077191,0.0519087001449943,0.0218542826227242,0.0178523950117212,0.0102424411317684,0.00647144427901831,0.00200715353068347,0.00123521639642987,0.00105219305091992,"2007","Both"
"X15",0,0.213447882629565,0.423432821208539,0.151198518723557,0.088894161997839,0.0512652114716196,0.0322831192103045,0.0117049247520118,0.0131698265565323,0.00763190715329975,0.00311888426960884,0.0023005289074381,0.00155221311968472,"2008","Both"
"X16",0,0.47294961834369,0.17269890315911,0.228810669817273,0.0628635871134028,0.0274027173392371,0.0147265269386083,0.00959245599218562,0.00612919242296011,0.00233431579481332,0.00123069099193333,0.000788709521439723,0.000472612565346538,"2009","Both"
"X17",0,0.0466090636275336,0.470648014972942,0.184948735489988,0.20109077004974,0.0634087571659409,0.0162282892482644,0.00883863458881364,0.00426463694141805,0.00223106121274925,0.000820757408258225,0.000752253867555944,0.000159025426795584,"2010","Both"
"X18",8.09040199589314e-05,0.299983904837303,0.0738113904062688,0.373151952468968,0.111860589327909,0.0936306078665317,0.0303185090634098,0.00799635186166451,0.0043461976731697,0.00211806994300435,0.0013983605525064,0.000758027256569771,0.000545134722735622,"2011","Both"
"X19",0,0.377455538648645,0.236273010142906,0.0605168345540129,0.22040749689764,0.0596209234644161,0.0312786532658882,0.00818856895479308,0.00305051969604115,0.00213227846396883,0.000678838586328345,0.000166895491172207,0.000230441834187976,"2012","Both"
"X20",0,0.103592562681647,0.358218520094145,0.197942907408095,0.122648148906615,0.133998771812944,0.0614955350657794,0.0146079188637304,0.00509104992585723,0.00134107862861804,0.0003028141587855,0.000383229415479299,0.000377463038304938,"2013","Both"
"X21",3.1746659533516e-05,0.302998524784629,0.16290022700362,0.225554923032281,0.19423738021784,0.0540180138565158,0.0433375240035021,0.0115279648847433,0.00273163868843891,0.00104353191144244,0.000905627450179196,9.6726296600198e-05,0.000616171210674622,"2014","Both"
"X22",2.15968547803711e-05,0.0585584808813769,0.427449283043424,0.205991926985458,0.191023229670408,0.0818935693594619,0.0191558382586526,0.0119022374477223,0.00291037782607151,0.000512571543281006,0.000260215907833478,0.000115853242120912,0.000204818979408911,"2015","Both"
